time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
1.500000000000001055e-01,3.408815308834012292e-01,-7.598774868099655855e-01,3.454377740557057486e+00,-7.939770945079815512e+00,0.000000000000000000e+00,-1.398285388946533203e+00
1.520000000000001072e-01,3.477850002206667734e-01,-7.757608208662722937e-01,3.448900142945464875e+00,-7.943201646426863327e+00,0.000000000000000000e+00,-1.398776888847351074e+00
1.540000000000001090e-01,3.546764016073684078e-01,-7.916489246035920413e-01,3.442315360973729366e+00,-7.944552783401422680e+00,0.000000000000000000e+00,-1.399345874786376953e+00
1.560000000000001108e-01,3.615535577135253753e-01,-8.075377195170110323e-01,3.434660416088881174e+00,-7.943904937086644580e+00,0.000000000000000000e+00,-1.399988055229187012e+00
1.580000000000001126e-01,3.684143648255023273e-01,-8.234232873277756992e-01,3.425971886446114389e+00,-7.941337717786812078e+00,0.000000000000000000e+00,-1.400699496269226074e+00
1.600000000000001144e-01,3.752567918862290686e-01,-8.393018678905720398e-01,3.416285835069275301e+00,-7.936929616693172207e+00,0.000000000000000000e+00,-1.401475906372070312e+00
1.620000000000001161e-01,3.820788793647066361e-01,-8.551698567462887590e-01,3.405637711093338904e+00,-7.930757799930296947e+00,0.000000000000000000e+00,-1.402312755584716797e+00
1.640000000000001179e-01,3.888787379432271929e-01,-8.710238022947525138e-01,3.394062266194907362e+00,-7.922897934395622066e+00,0.000000000000000000e+00,-1.403206586837768555e+00
1.660000000000001197e-01,3.956545471084756405e-01,-8.868604027698471226e-01,3.381593541789722490e+00,-7.913424163796143773e+00,0.000000000000000000e+00,-1.404152750968933105e+00
1.680000000000001215e-01,4.024045536158980529e-01,-9.026765029511487626e-01,3.368264755442836655e+00,-7.902408869796810009e+00,0.000000000000000000e+00,-1.405147433280944824e+00
1.700000000000001232e-01,4.091270698320764732e-01,-9.184690906211799843e-01,3.354108292073296749e+00,-7.889922655708573984e+00,0.000000000000000000e+00,-1.406186699867248535e+00
1.720000000000001250e-01,4.158204720207863692e-01,-9.342352929072735845e-01,3.339155656535633288e+00,-7.876034247607764271e+00,0.000000000000000000e+00,-1.407266139984130859e+00
1.740000000000001268e-01,4.224831985254077771e-01,-9.499723724063965369e-01,3.323437417387930193e+00,-7.860810376160080715e+00,0.000000000000000000e+00,-1.408382892608642578e+00
